"id","naffairs","affair","age","age.cat","age.imp","male","educ","edu.cat","occup","occup.cat","kids","relig","religious","yrsmarr","yrsmarr.cat","yrsmarr.imp","ratemarr","rate.marr.cat"
4,0,0,37,"35-39",38,1,18,"Masters",7,"executive",0,3,"slightly",10,"9-11-yrs",11,4,"somewhat-happy"
5,0,0,27,"25-29",29,0,14,"some-college",6,"manager",0,4,"somewhat",4,"3-5-yrs",5,4,"somewhat-happy"
6,3,1,27,"25-29",26,1,18,"Masters",4,"clerical",0,3,"slightly",1.5,"1-2-yrs",1,4,"somewhat-happy"
11,0,0,32,"30-34",32,0,12,"HS-graduate",1,"unskilled",1,1,"anti",15,"12+",19,4,"somewhat-happy"
12,3,1,27,"25-29",29,0,17,"some-graduate",1,"unskilled",1,3,"slightly",4,"3-5-yrs",5,5,"very-happy"
16,0,0,57,"55+",63,1,18,"Masters",6,"manager",1,5,"very",15,"12+",17,5,"very-happy"
23,0,0,22,"20-24",21,1,17,"some-graduate",6,"manager",0,2,"not-at-all",0.75,"7-12-mo",1,3,"average"
29,0,0,32,"30-34",31,0,17,"some-graduate",5,"admin",0,2,"not-at-all",1.5,"1-2-yrs",2,5,"very-happy"
43,7,1,37,"35-39",36,1,18,"Masters",6,"manager",1,5,"very",15,"12+",31,2,"somewhat-unhappy"
44,0,0,22,"20-24",24,0,12,"HS-graduate",1,"unskilled",0,2,"not-at-all",0.75,"7-12-mo",0.833333333333333,3,"average"
45,0,0,57,"55+",60,1,14,"some-college",4,"clerical",1,2,"not-at-all",15,"12+",31,4,"somewhat-happy"
47,0,0,32,"30-34",32,0,16,"College-graduate",1,"unskilled",1,4,"somewhat",15,"12+",24,2,"somewhat-unhappy"
49,0,0,22,"20-24",23,1,14,"some-college",4,"clerical",0,4,"somewhat",1.5,"1-2-yrs",2,5,"very-happy"
50,0,0,37,"35-39",36,1,20,"Phd-MD-Other",7,"executive",1,2,"not-at-all",15,"12+",12,2,"somewhat-unhappy"
53,12,1,32,"30-34",31,0,17,"some-graduate",5,"admin",1,3,"slightly",10,"9-11-yrs",9,2,"somewhat-unhappy"
55,0,0,27,"25-29",29,1,18,"Masters",6,"manager",1,4,"somewhat",4,"3-5-yrs",4,4,"somewhat-happy"
64,0,0,47,"45-49",45,1,17,"some-graduate",6,"manager",1,5,"very",15,"12+",24,4,"somewhat-happy"
67,1,1,22,"20-24",21,1,16,"College-graduate",5,"admin",0,4,"somewhat",0.125,"3-mo-or-less",0.25,5,"very-happy"
79,1,1,22,"20-24",23,0,14,"some-college",1,"unskilled",1,2,"not-at-all",1.5,"1-2-yrs",2,5,"very-happy"
80,0,0,22,"20-24",24,0,17,"some-graduate",5,"admin",0,2,"not-at-all",1.5,"1-2-yrs",2,4,"somewhat-happy"
86,0,0,27,"25-29",26,0,14,"some-college",5,"admin",0,4,"somewhat",4,"3-5-yrs",4,4,"somewhat-happy"
93,0,0,37,"35-39",39,0,17,"some-graduate",5,"admin",1,1,"anti",15,"12+",14,5,"very-happy"
108,0,0,37,"35-39",35,0,18,"Masters",4,"clerical",1,2,"not-at-all",15,"12+",23,3,"average"
114,0,0,22,"20-24",24,0,16,"College-graduate",5,"admin",0,3,"slightly",0.75,"7-12-mo",0.833333333333333,4,"somewhat-happy"
115,0,0,22,"20-24",23,0,16,"College-graduate",5,"admin",0,2,"not-at-all",1.5,"1-2-yrs",2,5,"very-happy"
116,0,0,27,"25-29",29,0,14,"some-college",1,"unskilled",1,2,"not-at-all",10,"9-11-yrs",11,5,"very-happy"
122,12,1,37,"35-39",36,1,14,"some-college",5,"admin",1,4,"somewhat",15,"12+",25,2,"somewhat-unhappy"
123,0,0,22,"20-24",22,0,16,"College-graduate",5,"admin",0,2,"not-at-all",1.5,"1-2-yrs",1,5,"very-happy"
126,7,1,22,"20-24",20,0,14,"some-college",3,"skilled",0,2,"not-at-all",1.5,"1-2-yrs",1,4,"somewhat-happy"
127,0,0,22,"20-24",22,0,16,"College-graduate",5,"admin",0,2,"not-at-all",1.5,"1-2-yrs",2,5,"very-happy"
129,0,0,27,"25-29",28,0,16,"College-graduate",5,"admin",1,4,"somewhat",10,"9-11-yrs",10,4,"somewhat-happy"
133,2,1,37,"35-39",35,1,18,"Masters",6,"manager",1,2,"not-at-all",15,"12+",14,4,"somewhat-happy"
134,0,0,32,"30-34",30,0,14,"some-college",1,"unskilled",1,3,"slightly",10,"9-11-yrs",9,5,"very-happy"
137,0,0,37,"35-39",39,1,20,"Phd-MD-Other",6,"manager",1,2,"not-at-all",4,"3-5-yrs",3,4,"somewhat-happy"
138,3,1,32,"30-34",32,0,12,"HS-graduate",3,"skilled",1,4,"somewhat",15,"12+",13,2,"somewhat-unhappy"
139,0,0,22,"20-24",24,0,18,"Masters",5,"admin",0,2,"not-at-all",1.5,"1-2-yrs",2,5,"very-happy"
147,0,0,27,"25-29",28,0,16,"College-graduate",1,"unskilled",0,4,"somewhat",7,"6-8-yrs",7,5,"very-happy"
151,0,0,42,"40-44",44,1,20,"Phd-MD-Other",6,"manager",1,5,"very",15,"12+",25,4,"somewhat-happy"
153,0,0,27,"25-29",28,1,16,"College-graduate",5,"admin",1,3,"slightly",4,"3-5-yrs",3,5,"very-happy"
154,1,1,37,"35-39",38,0,14,"some-college",4,"clerical",1,4,"somewhat",15,"12+",20,2,"somewhat-unhappy"
155,0,0,27,"25-29",28,0,17,"some-graduate",5,"admin",1,3,"slightly",4,"3-5-yrs",3,4,"somewhat-happy"
159,7,1,42,"40-44",42,0,17,"some-graduate",1,"unskilled",1,3,"slightly",15,"12+",19,4,"somewhat-happy"
162,0,0,42,"40-44",44,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",15,"12+",13,3,"average"
163,0,0,22,"20-24",24,0,16,"College-graduate",5,"admin",0,3,"slightly",1.5,"1-2-yrs",1,5,"very-happy"
165,0,0,27,"25-29",28,1,17,"some-graduate",6,"manager",0,4,"somewhat",0.416999995708466,"4-6-mo",0.333333333333333,4,"somewhat-happy"
168,0,0,42,"40-44",44,0,14,"some-college",5,"admin",1,5,"very",15,"12+",18,4,"somewhat-happy"
170,0,0,32,"30-34",30,1,18,"Masters",6,"manager",1,1,"anti",4,"3-5-yrs",3,4,"somewhat-happy"
172,0,0,22,"20-24",24,0,16,"College-graduate",5,"admin",0,4,"somewhat",1.5,"1-2-yrs",1,3,"average"
174,12,1,42,"40-44",40,0,9,"grade-school",4,"clerical",1,5,"very",15,"12+",13,1,"very-unhappy"
176,12,1,37,"35-39",38,1,20,"Phd-MD-Other",6,"manager",1,2,"not-at-all",10,"9-11-yrs",10,2,"somewhat-unhappy"
181,12,1,32,"30-34",32,0,14,"some-college",1,"unskilled",1,3,"slightly",15,"12+",12,2,"somewhat-unhappy"
182,3,1,27,"25-29",25,1,18,"Masters",6,"manager",0,1,"anti",4,"3-5-yrs",5,5,"very-happy"
184,0,0,42,"40-44",42,0,12,"HS-graduate",1,"unskilled",1,3,"slightly",15,"12+",26,4,"somewhat-happy"
186,7,1,37,"35-39",38,1,18,"Masters",7,"executive",1,2,"not-at-all",10,"9-11-yrs",11,3,"average"
187,0,0,22,"20-24",20,0,17,"some-graduate",5,"admin",0,4,"somewhat",4,"3-5-yrs",3,5,"very-happy"
189,7,1,27,"25-29",28,0,17,"some-graduate",5,"admin",0,3,"slightly",4,"3-5-yrs",5,5,"very-happy"
192,0,0,22,"20-24",21,1,14,"some-college",3,"skilled",1,1,"anti",1.5,"1-2-yrs",2,5,"very-happy"
194,0,0,22,"20-24",24,0,16,"College-graduate",1,"unskilled",0,3,"slightly",0.75,"7-12-mo",0.916666666666667,5,"very-happy"
204,1,1,42,"40-44",43,1,16,"College-graduate",5,"admin",1,4,"somewhat",15,"12+",28,5,"very-happy"
210,0,0,32,"30-34",32,1,20,"Phd-MD-Other",6,"manager",1,5,"very",10,"9-11-yrs",9,5,"very-happy"
215,1,1,47,"45-49",47,0,14,"some-college",4,"clerical",1,5,"very",15,"12+",26,5,"very-happy"
